board	quantity	rung	stands_on	checked_against	section
pillars	the twenty-four solar terms	0	Swiss Ephemeris: the Sun's apparent longitude crossing a multiple of 15°, aberration and nutation included	lunar-javascript, 1926 dates from 1902 to 2098, agreeing on every one	Tier 1 — the calendrical layer
pillars	the lunar date	0	the new moon on 120°E, the Moon's elongation from the Sun driven to zero	lunar-javascript, the same 1926 dates	Tier 1 — the calendrical layer
pillars	the four pillars	1	the sexagenary count anchored on the terms and on the day boundary	lunar-javascript, year, month, day and hour on all 1926 dates	Tier 1 — the calendrical layer
pillars	the true-solar correction	0	Swiss Ephemeris's lmt_to_lat for the equation of time, plus the offset from the zone's meridian	nothing independent: the ephemeris is the instrument here and not a witness	Tier 1 — the calendrical layer
pillars	納音, hidden stems, ten gods, twelve stages, void branches, the luck cycles	1	transmitted tables and derivations over the pillars	lunar-javascript, 479 charts over the same two centuries, the eleven disagreements all inside China's moving clocks	Tier 1 — the calendrical layer
bazi	the count of the five elements	0	the element of each stem and each branch, arithmetic over the eight characters, zeroes included	the basis is the tier-1 material the seasonal states and the 納音 already share; the count adds no rule	五行 of the eight characters — a count, not a weighing
qimen	the earth plate	1	counting the instruments and the marvels through the Luoshu	all eighteen published arrangements reproduced without a cell out of place, and qimen-dunjia over 160 charts	Tier 2 — the layout, and the zhirun ju
qimen	the ju under 拆補, the yuan from the term	1	the term in force, cut into three fives from the instant it began	qimen-dunjia 2.1.0, 160 charts from 2000 to 2023, all thirteen quantities. The term-to-局 table under it is confirmed entire in print: 《奇門遁甲金鏡寶鑑》 heads each of its eighteen 局 with the four term-and-yuan slots that take it, and all seventy-two cells agree	Tier 2 — the layout, and the zhirun ju
qimen	the ju under 拆補, the yuan from the 符頭	1	the day pillar's place in the fifteen-day cycle headed by 甲 and 己	kinqimen over 3652 days, and fengshui-hacks on 260 of 266 moments, the six being 超神 windows	Tier 2 — the layout, and the zhirun ju
qimen	the ju under 置閏	4	《奇門遁甲統宗》卷一 置閏法: whole fifteen-day blocks, the drift paid off by a repeated 芒種 or 大雪	the text's own worked example over 1717–1719, every date and every dated term reproduced; ktonko.com confirms the structure piecewise. **Where the repeated block goes is contested**: 《奇門遁甲金鏡寶鑑》卷之一 repeats the term the year's leap month falls under instead, works it over 1678 and 1691 — both leap months confirmed here — and rejects the solstice placement outright	置閏 has a dated worked example, and it moves the pin by a day
qimen	the heaven plate, the nine stars, the eight gates, the eight spirits, 值符, 值使, 旬首, 空亡, 驛馬	1	the turn of the plate until the instrument stands over the hour's stem	fengshui-hacks, 260 charts over the eight outer palaces — it leaves the centre starless, so it cannot weigh the ninth; and qimen-dunjia over 666 charts agreeing on the earth plate, the heaven plate and all nine stars, including the 147 that put a stem in the centre. 《奇門遁甲全局》 in print, four charts of 陽遁一局 and 陰遁一局 read on the plate — the yin board agrees on all eight spirits, the yang board keeps 白虎 where this engine renames it. 《奇門遁甲金鏡寶鑑》 in print, the 起星訣 and 起門訣 of 陽遁一局 read whole — all six 直符 stars and all six 直使 gates agree by name, and all twenty palace disagreements are the centre counted as a station, one of them carrying a cut slip on top of it. Its prose, swept whole for 卷一~卷三, pairs the middle seats as this engine does — 勾陳 with 白虎, 朱雀 with 玄武 — and selects between the two names by the matter asked rather than by the dun	Tier 2 — the layout, and the zhirun ju
qimen	門迫	3	the gate's phase controlling the palace's, which is one of the five relations	《統宗》卷一 迫 prints eleven of the thirteen cells with its own reasons beside them; the two it omits its own reasons cover	Derived, with the transmitted list as the test
qimen	五不遇時	3	the hour's stem controlling the day's at the same polarity	the ten transmitted pairings — and the derivation found the mnemonic incomplete, the condition striking twice on two days in ten; and 《奇門遁甲金鏡寶鑑》卷之四 states the rule with its condition in print — 「時干剋日干。陽忌陽，陰忌陰」 — so the polarity clause is transmitted and not only inferred	Derived, with the transmitted list as the test
qimen	驛馬	3	the branch facing the triad's 長生	申子辰馬在寅 and its three fellows	Derived, with the transmitted list as the test
qimen	旺相休囚死, 門宮, 星宮	3	the five-phase reckoning against the season and against the palace	stateable in a sentence and asserted against it; 門迫 is one of the five relations and a test holds the two to each other. **Contradicted in print**: 《奇門遁甲金鏡寶鑑》卷之四 states and tabulates the same five relations read outward from the star, which transposes 相 with 休 and 囚 with 死, and extends them to the day and hour where this engine reads the month alone	Derived, with the transmitted list as the test
qimen	入墓 and 六儀擊刑	5	transmitted tables, held and deliberately not derived: 入墓 parts from the twelve stages	《統宗》卷一 奇門四十格 in print — 擊刑 decade for decade and palace for palace, 入墓 three of its four, 戊 in Qian having no line of its own; 《奇門遁甲金鏡寶鑑》卷之四 prints the 擊刑 palaces of all six decades and agrees cell for cell, which is a second print for that half of the row and none for 入墓	Transmitted, not derived
qimen	十干克應 — the twelve pairings shipped	2	the 四十格 verse and its tabular redactions	six witnesses collated cell by cell; eleven pairings pinned to a line of the verse, one of them to a line the recensions divide over, and 戰格 to two sources agreeing. The other sixty-nine cells are refused	十干克應 — what was checked, one pairing at a time
qimen	八門 — what each gate is chosen for	2	《太乙金鏡式經》's domains and the 執事歌's errands	a Tang witness, two independent redactions of the verse, and 《統宗》卷二's prose table; the 統宗 passage confirmed on a second printed edition	八門 — what each gate is chosen for
nianming	本命 and 行年	5	《遁甲演義》卷一 遁甲錯誤須檢點, which states the rule and states leaving it out as a defect	nothing to run it against. The 四庫全書提要 singles the doctrine out as one other books do not carry, which is a witness to its rarity and not a second statement of it	年命 — the birth inside a chart of a moment
liuren	the four courses, 月將加時 and the 寄宮 table	1	the general set on the palace of the hour, every branch a constant step from where it lives	kinliuren over 17280 term-keyed boards: the four courses 17280/17280, the 上剋下 · 下賊上 marking 17280/17280	The runnable references, and what they weigh
liuren	the three transmissions and the 九宗門	1	the nine rules, stated line by line in 《六壬大全》卷一 入手法	liuren-ts-lib over the whole 8640-board space, 99.6 %, and 99.7 % where the two references agree — the two agreeing with each other on only 82.4 %	The runnable references, and what they weigh
liuren	返吟	4	《六壬大全》卷一's own statement of the exception, which is exhaustive about itself	no reference could check it; the text can be held to it and is	返吟, which no reference could check, and the text checks exhaustively
liuren	the five-phase assignments of the 十二天將	-	the tradition transmits them and the engine carries none	no source is registered here, which is why the drawing leaves them in neutral ink	What the board does not carry
liuren	the 貴人 seat, by day and by night	2	the 貴人歌 — 甲戊庚牛羊, 乙己鼠猴鄉, 丙丁豬雞位, 壬癸蛇兔藏, 六辛逢馬虎	《六壬大全》, which prints the verse with the branches interlined, against 《大六壬精解》 p. 26, which prints it with a prose gloss. The two disagree on one character — 六壬 for 六辛 in the 精校本 — and the interlinear 午寅 settles it, 壬 having been placed at 巳卯 two lines above	《大六壬精解》, and the one refusal it moves
